english,word,score
paradise,raj,8.5
diploma,dyplom,7.5
beggar,żebrak,2.24
father,ojciec,7.35
infection,zakażenie,2
decompose,rozkładać się,3.31
grief,żal,2.76
salute,pozdrowienie,6.79
inspire,inspirować,7.05
dream,sen,7.83
month,miesiąc,5.44
whore,dziwka,3.13
rattle,grzechotka,5.48
bankrupt,bankrut,2.69
disaster,katastrofa,1.67
revolt,bunt,4.26
mountain,góra,6.83
honest,uczciwy,7.75
headache,ból głowy,2.5
spirit,duch,4.14
maggot,larwa,3.05
window,okno,5.53
music,muzyka,7.81
suffocate,dusić,2.24
gloom,mrok,3.71
dagger,sztylet,2.81
vacation,wakacje,8.21
malaria,malaria,1.93
success,sukces,8.1
afraid,przestraszony,3.19
life,życie,7.17
engaged,zaręczony,6.73
flabby,wiotki,3.84
divorce,rozwód,2.55
triumph,triumf,8.07
diamond,diament,7.74
circus,cyrk,5.86
sex,płeć,5.79
charm,urok,7.48
loyal,wierny,7.64
millionaire,milioner,6.83
paralysis,paraliż,1.52
person,osoba,6.02
pencil,ołówek,4.74
seat,siedzenie,5.29
crucify,ukrzyżować,1.67
industry,przemysł,4.73
stupid,głupi,2.67
smallpox,ospa,2
wedding,ślub,7.13
profit,zysk,7.12
slime,szlam,2.76
fire,pożar,2.51
slave,niewolnik,2.31
waterfall,wodospad,7.1
toxic,toksyczny,2.39
jail,więzienie,1.9
party,stronnictwo,4.43
custom,zwyczaj,5.1
warmth,ciepło,7.55
candy,cukierki,7.33
sleep,spać,7.52
violent,gwałtowny,4.08
leprosy,trąd,2.45
graduate,absolwent,7.18
pleasure,przyjemność,8.31
easygoing,niefrasobliwy,4.13
louse,wesz,2.69
frog,żaba,4.82
jewel,klejnot,6.79
woman,kobieta,7.37
paper,papier,5.17
garbage,śmieci,2.64
humiliate,poniżyć,2.18
wine,wino,7.03
anxiety,niepokój,2.71
toothache,ból zęba,1.76
honor,honor,6.83
murderer,morderca,2.79
jelly,galaretka,6.16
butter,masło,4.88
vehicle,pojazd,6.23
tragedy,tragedia,1.29
venom,jad,2.35
theory,teoria,5.4
pretty,ładny,7.19
wise,mądry,7.74
scholar,uczony,6.55
valentine,walentynka,7.24
bomb,bomba,3.5
palace,pałac,7.1
pest,szkodnik,2.57
malice,złośliwość,3.05
rage,wściekłość,2.79
punishment,ukaranie,2.98
heaven,niebiosa,7.08
torture,tortura,2.17
slum,slums,2.21
shadow,cień,4.79
lucky,fartowny,6.6
liberty,wolność,7.81
prison,więzienie,1.9
glamour,urok,7.48
destroy,zniszczyć,2.36
sin,zgrzeszenie,3.27
peace,pokój,6.79
puppy,szczeniak,6.26
confident,konfident,2.49
poetry,poezja,6.31
assault,napaść,2.14
seasick,choroba morska,2.33
hug,przytulić,7.95
stink,śmierdzieć,1.81
tornado,tornado,2.37
cancer,rak,2.57
eat,jeść,6.2
green,zielony,6.03
lie,łgarstwo,2.38
vampire,wampir,3.7
beach,plaża,7.31
kiss,pocałunek,8.4
handsome,przystojny,6.82
unfaithful,niewierny,2.17
anger,złość,2.53
burial,pochówek,1.45
syphilis,syfilis,1.57
killer,zabójca,2.84
cake,tort,7.26
disappointment,zawiedzenie,3
irritate,irytować,3.12
book,książka,6.45
gift,prezent,7.87
putrid,zgniły,2.67
horror,przerażenie,1.95
money,pieniądze,6.95
god,bóg,6.55
