english,word,score
rattle,Rassel,0.46
deserter,Deserteur,-0.56
blubber,Geheule,-1.25
garbage,Abfall,-1.70
excellence,Exzellenz,0.25
crown,Krone,1.15
infection,Infektion,-2.19
thrill,erschaudern,-1.07
crucify,kreuzigen,-2.21
mountain,Berg,0.93
unhappy,unglücklich,-1.86
pillow,Kissen,1.65
thorn,Dorn,-0.93
gold,Gold,1.40
scorn,Verachtung,-2.00
whore,Hure,-1.30
square,Quadrat,0.13
brother,Bruder,1.68
context,Kontext,0.53
theory,Theorie,0.27
butterfly,Schmetterling,1.75
disloyal,illoyal,-1.93
cozy,gemütlich,1.82
horse,Pferd,1.18
wedding,Hochzeit,1.00
termite,Termite,-0.56
dreadful,grässlich,-1.87
failure,scheitern,-1.94
detest,hassen,-2.50
stink,Krach,-1.40
patent,Patent,0.31
refreshment,Erfrischung,2.00
paradise,Paradies,2.80
employment,Anstellung,0.94
fraud,Betrug,-2.05
hug,Umarmung,1.93
charm,Charme,2.30
burial,Beerdigung,-2.07
poetry,Poesie,1.20
power,Kraft,1.38
riot,Aufruhr,-0.73
bird,Vogel,1.20
industry,Industrie,-0.65
afraid,ängstlich,-1.38
freedom,Freiheit,2.80
eat,essen,1.56
pollute,verschmutzen,-1.33
toothache,Zahnschmerzen,-2.52
morgue,Leichenschauhaus,-2.25
green,grün,1.20
rude,unerzogen,-1.33
hospital,Krankenhaus,-0.66
cottage,Häuschen,1.00
rage,Zorn,-1.80
memory,Erinnerung,1.41
joy,Jubel,2.00
bunny,Häschen,1.33
silk,Seide,1.65
honor,Ehre,0.91
virtue,Tugend,1.40
heaven,Himmel,2.25
rainbow,Regenbogen,2.25
handsome,hübsch,1.81
leprosy,Lepra,-2.40
clothing,Kleidung,0.60
ugly,hässlich,-1.87
wasp,Wespe,-1.20
champion,Sieger,1.75
promotion,Förderung,1.15
wicked,bösartig,-2.19
scum,Abschaum,-2.13
respect,Respekt,1.93
poverty,Armut,-1.95
violent,gewalttätig,-2.79
trouble,Problem,-1.70
family,Familie,1.80
victory,Sieg,2.20
ambition,Ehrgeiz,1.50
salad,Salat,1.35
exercise,Übung,0.14
prairie,Weide,1.25
vampire,Vampir,-0.50
village,Dorf,1.06
frog,Frosch,-0.09
nightmare,Alptraum,-2.80
sunrise,Morgendämmerung,1.20
sin,Sünde,-0.27
bowl,Schüssel,0.43
flabby,wabbelig,-1.60
weapon,Waffe,-2.35
ulcer,Geschwür,-2.13
profit,Gewinne,1.34
putrid,verdorben,-1.53
kiss,Kuss,2.25
breast,Busen,1.85
cheer,Stimmung,1.00
lake,See,1.82
waste,Verschwendung,-1.40
diamond,Diamant,1.70
money,Geld,1.60
child,Kind,1.80
pride,Stolz,0.50
vision,Sehkraft,0.60
foul,stinkend,-1.87
debt,schulden,-1.80
anger,Ärger,-1.90
caress,Liebkosung,1.87
street,Straße,0.18
elegant,elegant,1.27
contents,Inhalt,0.00
warmth,Wärme,2.18
grief,Leid,-2.00
hurt,verletzt,-1.80
toxic,giftig,-1.91
agility,Beweglichkeit,1.53
door,Tür,0.47
quarrel,Streit,-2.20
king,König,0.60
suffocate,ersticken,-1.93
scholar,Gelehrter,1.81
brutal,brutal,-2.00
improve,verbessern,0.94
pencil,Bleistift,0.50
devil,Teufel,-1.95
trophy,Trophäe,0.93
dagger,Dolch,-1.30
butter,Butter,0.60
wine,Wein,1.80
adorable,anbetungswürdig,0.40
luxury,Luxus,1.70
malaria,Malaria,-2.10
army,Armee,-2.10
cake,Torte,1.60
angel,Engel,2.15
annoy,ärgern,-1.22
gentle,zart,1.70
gloom,Pessimismus,-1.79
star,Stern,1.00
history,Geschichte,0.76
useless,nutzlos,-1.33
ink,Tinte,0.35
vandal,Vandale,-1.07
humor,Humor,2.15
betray,verraten,-1.65
learn,lernen,0.80
muscular,muskulös,1.13
war,Krieg,-2.90
jealousy,Eifersucht,-1.44
knowledge,Kenntnis,1.15
hostage,Geisel,-2.20
vomit,Erbrochenes,-2.27
terrific,genial,2.40
window,Fenster,1.14
louse,Laus,-1.20
loyal,loyal,2.10
win,gewinnen,1.68
earth,Erde,1.90
bomb,Bombe,-2.50
vacation,Erholung,2.30
snob,Snob,-1.40
priest,Pfarrer,0.40
excitement,Begeisterung,2.33
disaster,Desaster,-1.67
puppy,Welpe,1.95
savior,Retter,2.00
humiliate,demütigen,-1.80
happy,glücklich,1.93
palace,Palast,1.70
gift,Geschenk,2.30
unfaithful,untreu,-2.00
tumor,Tumor,-2.70
syphilis,Syphilis,-2.67
ridicule,Spott,-1.20
fat,fett,-1.50
cuddle,kuscheln,2.25
malice,Bösartigkeit,-2.13
cute,süß,1.67
